,Frequency,PMI,t-test,Chi-Sq Test
0,"('türkiye', 'büyük', 'millet')","('i̇spirto', 'i̇spirtolu', 'i̇çkiler')","('türkiye', 'büyük', 'millet')","('i̇spirto', 'i̇spirtolu', 'i̇çkiler')"
1,"('büyük', 'millet', 'meclisi')","('gerçekleşmeyen', 'gerçekleşemeyecek', 'projeleriniz')","('büyük', 'millet', 'meclisi')","('abant', 'i̇zzet', 'baysal')"
2,"('soru', 'önergesi', 'geliş')","('abant', 'i̇zzet', 'baysal')","('soru', 'önergesi', 'geliş')","('gerçekleşmeyen', 'gerçekleşemeyecek', 'projeleriniz')"
3,"('sözlü', 'soru', 'önergesi')","('şevket', 'bülend', 'yahni̇ci̇')","('sözlü', 'soru', 'önergesi')","('seçi̇mler', 'komi̇syonlarda', 'açik')"
4,"('önergesi', 'geliş', 'tarihi')","('sovyet', 'sosyalist', 'cumhuriyetler')","('önergesi', 'geliş', 'tarihi')","('açiklamalar', 'sataşmalara', 'i̇li̇şki̇n')"
5,"('doğru', 'yol', 'partisi')","('investment', 'holding', 'company')","('doğru', 'yol', 'partisi')","('şevket', 'bülend', 'yahni̇ci̇')"
6,"('otomatik', 'cihaz', 'başkan')","('milletvekilliğinin', 'demokrasimizin', 'gelişmesinin')","('otomatik', 'cihaz', 'başkan')","('milletvekilliğinin', 'demokrasimizin', 'gelişmesinin')"
7,"('başkan', 'teşekkür', 'ediyorum')","('deği̇şi̇kli̇k', 'yapilmasi', 'hakkinda')","('başkan', 'teşekkür', 'ediyorum')","('uygunluk', 'bildiriminin', 'sunulduğuna')"
8,"('başkan', 'teşekkür', 'ederim')","('born', 'investment', 'holding')","('başkan', 'teşekkür', 'ederim')","('investment', 'holding', 'company')"
9,"('büyük', 'millet', 'meclisinin')","('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')","('büyük', 'millet', 'meclisinin')","('deği̇şi̇kli̇k', 'yapilmasina', 'dai̇r')"
10,"('yol', 'partisi', 'grubu')","('oya', 'akgönenç', 'muği̇suddi̇n')","('yol', 'partisi', 'grubu')","('born', 'investment', 'holding')"
11,"('fazilet', 'partisi', 'grubu')","('türki̇ye', 'cumhuri̇yeti̇', 'hükümeti̇')","('fazilet', 'partisi', 'grubu')","('sovyet', 'sosyalist', 'cumhuriyetler')"
12,"('kanun', 'hükmünde', 'kararname')","('seçi̇mler', 'komi̇syonlarda', 'açik')","('kanun', 'hükmünde', 'kararname')","('oya', 'akgönenç', 'muği̇suddi̇n')"
13,"('değişiklik', 'dair', 'kanun')","('cafer', 'tufan', 'yazicioğlu')","('değişiklik', 'dair', 'kanun')","('önlenemez', 'suçlu', 'milletvekilliğinin')"
14,"('millet', 'meclisi', 'görüşülmekte')","('işaretli', 'cetvelde', 'gösterildiği')","('millet', 'meclisi', 'görüşülmekte')","('başkanveki̇li̇', 'hayretti̇n', 'özdemi̇r')"
