,Frequency,PMI,t-test,Chi-Sq Test
0,"('büyük', 'millet')","('otomatik', 'cihaz')","('büyük', 'millet')","('otomatik', 'cihaz')"
1,"('türkiye', 'büyük')","('radyo', 'televizyon')","('türkiye', 'büyük')","('i̇dri̇s', 'baluken')"
2,"('millet', 'meclisi')","('engi̇n', 'altay')","('millet', 'meclisi')","('pervi̇n', 'buldan')"
3,"('i̇dri̇s', 'baluken')","('pervi̇n', 'buldan')","('i̇dri̇s', 'baluken')","('birleşmiş', 'milletler')"
4,"('ahmet', 'aydin')","('süreyya', 'önder')","('ahmet', 'aydin')","('radyo', 'televizyon')"
5,"('milliyetçi', 'hareket')","('mahi̇r', 'ünal')","('milliyetçi', 'hareket')","('milliyetçi', 'hareket')"
6,"('oktay', 'vural')","('televizyon', 'üst')","('oktay', 'vural')","('engi̇n', 'altay')"
7,"('cumhuriyet', 'halk')","('tasnif', 'komisyonu')","('cumhuriyet', 'halk')","('cumhuriyet', 'halk')"
8,"('böyle', 'bir')","('doğan', 'kubat')","('birleşmiş', 'milletler')","('levent', 'gök')"
9,"('birleşmiş', 'milletler')","('levent', 'gök')","('millet', 'meclisinin')","('mahi̇r', 'ünal')"
10,"('millet', 'meclisinin')","('birleşmiş', 'milletler')","('hareket', 'partisi')","('oktay', 'vural')"
11,"('hareket', 'partisi')","('osman', 'baydemi̇r')","('böyle', 'bir')","('süreyya', 'önder')"
12,"('grup', 'başkan')","('mustafa', 'sezgin')","('özgür', 'özel')","('büyük', 'millet')"
13,"('özgür', 'özel')","('i̇ç', 'tüzük')","('grup', 'başkan')","('televizyon', 'üst')"
14,"('halk', 'partisi')","('özgür', 'özel')","('ak', 'parti̇')","('doğan', 'kubat')"
